#nulcide	MZUA	MZA
H-3	1.00E+06	1.00E+09
Be-7	1.00E+03	1.00E+07
C-14	1.00E+04	1.00E+07
O-15	1.00E+02	1.00E+09
F-18	1.00E+01	1.00E+06
Na-22	1.00E+01	1.00E+06
Na-24	1.00E+01	1.00E+05
Si-31	1.00E+03	1.00E+06
P-32	1.00E+03	1.00E+05
P-33	1.00E+05	1.00E+08
S-35	1.00E+05	1.00E+08
Cl-36	1.00E+04	1.00E+06
Cl-38	1.00E+01	1.00E+05
Ar-37	1.00E+06	1.00E+08
Ar-41	1.00E+02	1.00E+09
K-40	1.00E+02	1.00E+06
K-42	1.00E+02	1.00E+06
K-43	1.00E+01	1.00E+06
Ca-45	1.00E+04	1.00E+07
Ca-47	1.00E+01	1.00E+06
Sc-46	1.00E+01	1.00E+06
Sc-47	1.00E+02	1.00E+06
Sc-48	1.00E+01	1.00E+05
V-48	1.00E+01	1.00E+05
Cr-51	1.00E+03	1.00E+07
Mn-51	1.00E+01	1.00E+05
Mn-52	1.00E+01	1.00E+05
Mn-52m	1.00E+01	1.00E+05
Mn-53	1.00E+04	1.00E+09
Mn-54	1.00E+01	1.00E+06
Mn-56	1.00E+01	1.00E+05
Fe-52	1.00E+01	1.00E+06
Fe-55	1.00E+04	1.00E+06
Fe-59	1.00E+01	1.00E+06
Co-55	1.00E+01	1.00E+06
Co-56	1.00E+01	1.00E+05
Co-57	1.00E+02	1.00E+06
Co-58	1.00E+01	1.00E+06
Co-58m	1.00E+04	1.00E+07
Co-60	1.00E+01	1.00E+05
Co-60m	1.00E+03	1.00E+06
Co-61	1.00E+02	1.00E+06
Co-62m	1.00E+01	1.00E+05
Ni-59	1.00E+04	1.00E+08
Ni-63	1.00E+05	1.00E+08
Ni-65	1.00E+01	1.00E+06
Cu-64	1.00E+02	1.00E+06
Zn-65	1.00E+01	1.00E+06
Zn-69	1.00E+04	1.00E+06
Zn-69m	1.00E+02	1.00E+06
Ga-72	1.00E+01	1.00E+05
Ge-71	1.00E+04	1.00E+08
As-73	1.00E+03	1.00E+07
As-74	1.00E+01	1.00E+06
As-76	1.00E+02	1.00E+05
As-77	1.00E+03	1.00E+06
Se-75	1.00E+02	1.00E+06
Br-82	1.00E+01	1.00E+06
Kr-74	1.00E+02	1.00E+09
Kr-76	1.00E+02	1.00E+09
Kr-77	1.00E+02	1.00E+09
Kr-79	1.00E+03	1.00E+05
Kr-81	1.00E+04	1.00E+07
Kr-83m	1.00E+05	1.00E+12
Kr-85	1.00E+05	1.00E+04
Kr-85m	1.00E+03	1.00E+10
Kr-87	1.00E+02	1.00E+09
Kr-88	1.00E+02	1.00E+09
Rb-86	1.00E+02	1.00E+05
Sr-85	1.00E+02	1.00E+06
Sr-85m	1.00E+02	1.00E+07
Sr-87m	1.00E+02	1.00E+06
Sr-89	1.00E+03	1.00E+06
Sr-90	1.00E+02	1.00E+04
Sr-91	1.00E+01	1.00E+05
Sr-92	1.00E+01	1.00E+06
Y-90	1.00E+03	1.00E+05
Y-91	1.00E+03	1.00E+06
Y-91m	1.00E+02	1.00E+06
Y-92	1.00E+02	1.00E+05
Y-93	1.00E+02	1.00E+05
Zr-93	1.00E+03	1.00E+07
Zr-95	1.00E+01	1.00E+06
Zr-97	1.00E+01	1.00E+05
Nb-93m	1.00E+04	1.00E+07
Nb-94	1.00E+01	1.00E+06
Nb-95	1.00E+01	1.00E+06
Nb-97	1.00E+01	1.00E+06
Nb-98	1.00E+01	1.00E+05
Mo-90	1.00E+01	1.00E+06
Mo-93	1.00E+03	1.00E+08
Mo-99	1.00E+02	1.00E+06
Mo-101	1.00E+01	1.00E+06
Tc-96	1.00E+01	1.00E+06
Tc-96m	1.00E+03	1.00E+07
Tc-97	1.00E+03	1.00E+08
Tc-97m	1.00E+03	1.00E+07
Tc-99	1.00E+04	1.00E+07
Tc-99m	1.00E+02	1.00E+07
Ru-97	1.00E+02	1.00E+07
Ru-103	1.00E+02	1.00E+06
Ru-105	1.00E+01	1.00E+06
Ru-106	1.00E+02	1.00E+05
Rh-103m	1.00E+04	1.00E+08
Rh-105	1.00E+02	1.00E+07
Pd-103	1.00E+03	1.00E+08
Pd-109	1.00E+03	1.00E+06
Ag-105	1.00E+02	1.00E+06
Ag-110m	1.00E+01	1.00E+06
Ag-111	1.00E+03	1.00E+06
Cd-109	1.00E+04	1.00E+06
Cd-115	1.00E+02	1.00E+06
Cd-115m	1.00E+03	1.00E+06
In-111	1.00E+02	1.00E+06
In-113m	1.00E+02	1.00E+06
In-114m	1.00E+02	1.00E+06
In-115m	1.00E+02	1.00E+06
Sn-113	1.00E+03	1.00E+07
Sn-125	1.00E+02	1.00E+05
Sb-122	1.00E+02	1.00E+04
Sb-124	1.00E+01	1.00E+06
Sb-125	1.00E+02	1.00E+06
Te-123m	1.00E+02	1.00E+07
Te-125m	1.00E+03	1.00E+07
Te-127	1.00E+03	1.00E+06
Te-127m	1.00E+03	1.00E+07
Te-129	1.00E+02	1.00E+06
Te-129m	1.00E+03	1.00E+06
Te-131	1.00E+02	1.00E+05
Te-131m	1.00E+01	1.00E+06
Te-132	1.00E+02	1.00E+07
Te-133	1.00E+01	1.00E+05
Te-133m	1.00E+01	1.00E+05
Te-134	1.00E+01	1.00E+06
I-123	1.00E+02	1.00E+07
I-125	1.00E+03	1.00E+06
I-126	1.00E+02	1.00E+06
I-129	1.00E+02	1.00E+05
I-130	1.00E+01	1.00E+06
I-131	1.00E+02	1.00E+06
I-132	1.00E+01	1.00E+05
I-133	1.00E+01	1.00E+06
I-134	1.00E+01	1.00E+05
I-135	1.00E+01	1.00E+06
Xe-131m	1.00E+04	1.00E+04
Xe-133	1.00E+03	1.00E+04
Xe-135	1.00E+03	1.00E+10
Cs-129	1.00E+02	1.00E+05
Cs-131	1.00E+03	1.00E+06
Cs-132	1.00E+01	1.00E+05
Cs-134m	1.00E+03	1.00E+05
Cs-134	1.00E+01	1.00E+04
Cs-135	1.00E+04	1.00E+07
Cs-136	1.00E+01	1.00E+05
Cs-137	1.00E+01	1.00E+04
Cs-138	1.00E+01	1.00E+04
Ba-131	1.00E+02	1.00E+06
Ba-133	1.00E+01	1.00E+05
Ba-140	1.00E+01	1.00E+05
La-140	1.00E+01	1.00E+05
Ce-139	1.00E+02	1.00E+06
Ce-141	1.00E+02	1.00E+07
Ce-143	1.00E+02	1.00E+06
Ce-144	1.00E+02	1.00E+05
Pr-142	1.00E+02	1.00E+05
Pr-143	1.00E+04	1.00E+06
Nd-147	1.00E+02	1.00E+06
Nd-149	1.00E+02	1.00E+06
Pm-147	1.00E+04	1.00E+07
Pm-149	1.00E+03	1.00E+06
Sm-151	1.00E+04	1.00E+08
Sm-153	1.00E+02	1.00E+06
Eu-152	1.00E+01	1.00E+06
Eu-152m	1.00E+02	1.00E+06
Eu-154	1.00E+01	1.00E+06
Eu-155	1.00E+02	1.00E+07
Gd-153	1.00E+02	1.00E+07
Gd-159	1.00E+03	1.00E+06
Tb-160	1.00E+01	1.00E+06
Dy-165	1.00E+03	1.00E+06
Dy-166	1.00E+03	1.00E+06
Ho-166	1.00E+03	1.00E+05
Er-169	1.00E+04	1.00E+07
Er-171	1.00E+02	1.00E+06
Tm-170	1.00E+03	1.00E+06
Tm-171	1.00E+04	1.00E+08
Yb-175	1.00E+03	1.00E+07
Lu-177	1.00E+03	1.00E+07
Hf-181	1.00E+01	1.00E+06
Ta-182	1.00E+01	1.00E+04
W-181	1.00E+03	1.00E+07
W-185	1.00E+04	1.00E+07
W-187	1.00E+02	1.00E+06
Re-186	1.00E+03	1.00E+06
Re-188	1.00E+02	1.00E+05
Os-185	1.00E+01	1.00E+06
Os-191	1.00E+02	1.00E+07
Os-191m	1.00E+03	1.00E+07
Os-193	1.00E+02	1.00E+06
Ir-190	1.00E+01	1.00E+06
Ir-192	1.00E+01	1.00E+04
Ir-194	1.00E+02	1.00E+05
Pt-191	1.00E+02	1.00E+06
Pt-193m	1.00E+03	1.00E+07
Pt-197	1.00E+03	1.00E+06
Pt-197m	1.00E+02	1.00E+06
Au-198	1.00E+02	1.00E+06
Au-199	1.00E+02	1.00E+06
Hg-197	1.00E+02	1.00E+07
Hg197m	1.00E+02	1.00E+06
Hg-203	1.00E+02	1.00E+05
Tl-200	1.00E+01	1.00E+06
Tl-201	1.00E+02	1.00E+06
Tl-202	1.00E+02	1.00E+06
Tl-204	1.00E+04	1.00E+04
Pb-203	1.00E+02	1.00E+06
Pb-210	1.00E+01	1.00E+04
Pb-212	1.00E+01	1.00E+05
Bi-206	1.00E+01	1.00E+05
Bi-207	1.00E+01	1.00E+06
Bi-210	1.00E+03	1.00E+06
Bi-212	1.00E+01	1.00E+05
Po-203	1.00E+01	1.00E+06
Po-205	1.00E+01	1.00E+06
Po-207	1.00E+01	1.00E+06
Po-210	1.00E+01	1.00E+04
At-211	1.00E+03	1.00E+07
Rn-220	1.00E+04	1.00E+07
Rn-222	1.00E+01	1.00E+08
Ra-223	1.00E+02	1.00E+05
Ra-224	1.00E+01	1.00E+05
Ra-225	1.00E+02	1.00E+05
Ra-226	1.00E+01	1.00E+04
Ra-227	1.00E+02	1.00E+06
Ra-228	1.00E+01	1.00E+05
Ac-228	1.00E+01	1.00E+06
Th-226	1.00E+03	1.00E+07
Th-227	1.00E+01	1.00E+04
Th-228	1.00E+00	1.00E+04
Th-229	1.00E+00	1.00E+03
Th-230	1.00E+00	1.00E+04
Th-231	1.00E+03	1.00E+07
Th-232	1.00E+00	1.00E+03
Th-природный	1.00E+00	1.00E+03
Th-234	1.00E+03	1.00E+05
Pa-230	1.00E+01	1.00E+06
Pa-231	1.00E+00	1.00E+03
Pa-233	1.00E+02	1.00E+07
U-230	1.00E+01	1.00E+05
U-231	1.00E+02	1.00E+07
U-232	1.00E+00	1.00E+03
U-233	1.00E+01	1.00E+04
U-234	1.00E+01	1.00E+04
U-235	1.00E+01	1.00E+04
U-236	1.00E+01	1.00E+04
U-237	1.00E+02	1.00E+06
U-238	1.00E+01	1.00E+04
U-природный	1.00E+00	1.00E+03
